channel_id,channel_name,search_keyword,sample_video_title,published_at,subscribers,total_videos,total_views,description
UCl-Zrl0QhF66lu1aGXaTbfw,Neil Patel,AI SEO,AI-SEO Is Changing Everything in 2026,2025-10-30T13:01:55Z,1570000,2329,81934571,Learn digital marketing in just 5 minutes a day.
UCHbtzKwhxTCv2b85um7880A,James Dooley,LLM SEO,"Optimise AI Search Visibility | AI SEO, LLM SEO, ChatGPT (James Dooley Interviews Dan Petrovic)",2026-01-30T10:30:38Z,1340000,2345,8121763,"James Dooley is an entrepreneur based in the United Kingdom.

James Dooley's the CEO of PromoSEO, the founder of FatRank, and a digital landlord who invests in digital real estate.

James Dooley made "
UCWquNQV8Y0_defMKnGKrFOQ,Ahrefs,AI SEO,SEO in 2026: How I&#39;d Rank in Google in the AI Era,2026-03-18T12:01:39Z,664000,365,32728133,"Ahrefs TV publishes actionable digital marketing tutorials on SEO and YouTube marketing.

Through our videos, you'll learn how to grow organic traffic on Google, improve visibility on YouTube, and est"
UCVeuau7DLrg7zlAjxxDbdww,HubSpot Marketing,AI search optimization,"How to Optimize Your Business for ChatGPT, Perplexity &amp; AI Search (AEO Tutorial)",2025-11-18T15:00:10Z,608000,1094,41408966,"Hundreds of FREE Marketing Tools at your fingertips. Subscribe to take your business to the next level! 

Welcome to the official HubSpot Marketing YouTube channel. Your new home for expert marketing "
UCGpsgNbzdF7BECCVbB1COHw,Julian Goldie SEO,AI SEO,NotebookLM + Gemini AI SEO is INSANE!,2026-01-20T17:00:46Z,376000,4938,43522289,"My channel teaches you how to build backlinks, boost your website's traffic with SEO and most importantly, rank #1 on Google.

If you want actionable, easy-to-understand videos about Search Engine Opt"
UCqzK60-oUOEq36uU9B1MMUg,Julia McCoy,AI search optimization,Answer Engine Optimization (AEO): How to Rank #1 in AI Overviews &amp; Dominate Search,2025-12-12T19:05:42Z,285000,648,21047128,"The world's first 100% AI clone, humanly-run channel on AI news. Welcome to the rabbit hole. 🐇 🕳️ 

I've successfully cloned myself and my knowledge so I can stay in my zone of genius while helping mi"
UCLIJkb-i6o2ycexCluXqytg,StrategeMarketing,GEO SEO generative engine optimization,"GEO Generative Engine Optimization, le nouveau SEO ? (Emerger sur les IA)",2025-11-07T08:37:22Z,282000,196,13315534,StrategeMarketing.com est la première source de marketing qui rapporte. Abonnez-vous pour ne rien louper. Et mieux encore : inscrivez-vous sur le site et faites partie d'une communauté de marketeurs é
UC0yHbz4OxdQFwmVX2BBQqLg,AI Master,AI search optimization,AI Search Optimization Guide – How to Rank in ChatGPT &amp; Google,2025-11-07T15:41:07Z,268000,392,27656688,👇 Become an AI Master – All-in-one AI
UCrB7UFnkosBjAhOg3a9NdWw,Grace Leung,AI search optimization,AI Search: Make Your Brand the #1 Choice (Copy These SEO Methods),2025-12-05T13:01:25Z,134000,108,4707658,"I share all things digital marketing, AI Strategy, professional growth, tech & business! 👋

I’m Grace, a Digital Growth Consultant & Educator who is fascinated by anything digital and growth related. "
UCbHP6VGz859AqUebR1B_WLw,Payton Clark Smith,AI SEO,AI SEO 2026 (how to beat it),2025-10-28T14:04:37Z,131000,518,8135054,"Hi! I'm Payton👋🏻

I am a designer and entrepreneur that loves making helpful content for other designers and business owners!

I make lots of videos here on my channel about what I have learned from g"
UCNEsahyXxNJvYNsMhru-UzQ,Nathan Gotch,AI SEO,6 AI SEO Skills That Will Matter Most in 2026,2026-01-19T15:37:48Z,126000,336,5600214,"Win on Google, ChatGPT, and everywhere customers are searching right now.

It's true:

SEO is dead if you're still playing the old game. 

The new game is Search Everywhere Optimization.

And that's w"
UC2b2wgxm0vFjQfJJ0iRcFRw,Zubair Trabzada | AI Workshop,GEO SEO generative engine optimization,SEO Is Dead. Claude Code Just Built Its Replacement (It&#39;s FREE),2026-03-23T14:00:10Z,126000,266,5873635,"Welcome to AI Workshop, your ultimate destination for mastering no-code AI tools! Whether you're a complete beginner or an experienced professional, our channel is dedicated to helping you build power"
UCjzMc58B0E8ikYtW20_dUfg,Exposure Ninja,AI search optimization,How To Do an AI Search Optimisation Audit (Step-by-Step Guide),2025-12-09T10:59:57Z,107000,520,4973782,"Exposure Ninja is an award-winning search marketing agency specialising in SEO, AI Search and PPC. 

We grow B2B and B2C brands into industry leaders in search, and share outrageously good marketing v"
UCj0oJPeInOUgHdC5iUKLuxA,The Rise of Intelligence,AI SEO,AI Search ปิดลูกค้าได้มากกว่า SEO ถึง 6 เท่า,2026-03-17T10:01:21Z,87000,144,3919819,"Building AI-Driven Tech Talent in Thailand

Join Our Workshop or Inquire About Corporate Training through LINE ID: @rise-intelligence"
UCDxhBSgPvrFvyXLdpmygDhg,Edward Sturm,LLM SEO,AI &amp; LLM Visibility: A Practical Guide for Ranking in AI Results,2025-11-10T13:38:39Z,57000,3124,32209549,"SEO, digital marketing, organic social media marketing, growth hacks, and founder stories. Everything I'm doing to grow my companies and all the secrets I'm learning.

My background:
- Early viral vid"
